date,timestamp_queried,source_url,rows_matched
2022-11-28,20221128121500,http://data.gdeltproject.org/gdeltv2/20221128121500.gkg.csv.zip,81
2022-11-29,20221129121500,http://data.gdeltproject.org/gdeltv2/20221129121500.gkg.csv.zip,122
2022-11-30,20221130121500,http://data.gdeltproject.org/gdeltv2/20221130121500.gkg.csv.zip,155
2022-12-01,20221201121500,http://data.gdeltproject.org/gdeltv2/20221201121500.gkg.csv.zip,109
2022-12-02,20221202121500,http://data.gdeltproject.org/gdeltv2/20221202121500.gkg.csv.zip,141
2022-12-03,20221203121500,http://data.gdeltproject.org/gdeltv2/20221203121500.gkg.csv.zip,66
2022-12-04,20221204121500,http://data.gdeltproject.org/gdeltv2/20221204121500.gkg.csv.zip,50
2022-12-05,20221205121500,http://data.gdeltproject.org/gdeltv2/20221205121500.gkg.csv.zip,119
2022-12-06,20221206121500,http://data.gdeltproject.org/gdeltv2/20221206121500.gkg.csv.zip,131
2022-12-07,20221207121500,http://data.gdeltproject.org/gdeltv2/20221207121500.gkg.csv.zip,135
2022-12-08,20221208121500,http://data.gdeltproject.org/gdeltv2/20221208121500.gkg.csv.zip,128
2022-12-09,20221209121500,http://data.gdeltproject.org/gdeltv2/20221209121500.gkg.csv.zip,102
2022-12-10,20221210121500,http://data.gdeltproject.org/gdeltv2/20221210121500.gkg.csv.zip,42
2022-12-11,20221211121500,http://data.gdeltproject.org/gdeltv2/20221211121500.gkg.csv.zip,51
2022-12-12,20221212121500,http://data.gdeltproject.org/gdeltv2/20221212121500.gkg.csv.zip,111
2022-12-13,20221213121500,http://data.gdeltproject.org/gdeltv2/20221213121500.gkg.csv.zip,118
2022-12-14,20221214121500,http://data.gdeltproject.org/gdeltv2/20221214121500.gkg.csv.zip,110
2022-12-15,20221215121500,http://data.gdeltproject.org/gdeltv2/20221215121500.gkg.csv.zip,108
2022-12-16,20221216121500,http://data.gdeltproject.org/gdeltv2/20221216121500.gkg.csv.zip,126
2022-12-17,20221217121500,http://data.gdeltproject.org/gdeltv2/20221217121500.gkg.csv.zip,48
2022-12-18,20221218121500,http://data.gdeltproject.org/gdeltv2/20221218121500.gkg.csv.zip,54
2022-12-19,20221219121500,http://data.gdeltproject.org/gdeltv2/20221219121500.gkg.csv.zip,105
2022-12-20,20221220121500,http://data.gdeltproject.org/gdeltv2/20221220121500.gkg.csv.zip,114
2022-12-21,20221221121500,http://data.gdeltproject.org/gdeltv2/20221221121500.gkg.csv.zip,140
2022-12-22,20221222121500,http://data.gdeltproject.org/gdeltv2/20221222121500.gkg.csv.zip,134
2022-12-23,20221223121500,http://data.gdeltproject.org/gdeltv2/20221223121500.gkg.csv.zip,125
2022-12-24,20221224121500,http://data.gdeltproject.org/gdeltv2/20221224121500.gkg.csv.zip,52
2022-12-25,20221225121500,http://data.gdeltproject.org/gdeltv2/20221225121500.gkg.csv.zip,50
2022-12-26,20221226121500,http://data.gdeltproject.org/gdeltv2/20221226121500.gkg.csv.zip,72
2022-12-27,20221227121500,http://data.gdeltproject.org/gdeltv2/20221227121500.gkg.csv.zip,107
2022-12-28,20221228121500,http://data.gdeltproject.org/gdeltv2/20221228121500.gkg.csv.zip,89
2022-12-29,20221229121500,http://data.gdeltproject.org/gdeltv2/20221229121500.gkg.csv.zip,89
2022-12-30,20221230121500,http://data.gdeltproject.org/gdeltv2/20221230121500.gkg.csv.zip,69
